"country,region,year,ind_malaria_inc,rain_mm,temp_c,ndvi,water_safe,gdp,health_exp,pop_density,urban_pct"
"Cambodia,Asia,2015,6.20,2474.47,23.76,0.60,72.13,4433.64,4.54,88.51,9.23"
"Cambodia,Asia,2016,3.89,2729.46,23.96,0.57,72.39,4748.12,4.49,89.81,9.17"
"Cambodia,Asia,2017,6.78,2689.85,23.73,0.60,72.66,5050.06,4.27,91.06,8.90"
"Cambodia,Asia,2018,5.45,2679.33,23.56,0.58,72.91,5616.98,4.50,92.20,8.48"
"Cambodia,Asia,2019,2.76,2812.29,23.93,0.58,73.17,6153.99,5.06,93.37,6.29"
"Cambodia,Asia,2020,0.84,2561.60,24.05,0.57,73.42,5942.45,5.13,94.75,2.10"
"Cambodia,Asia,2021,0.36,2709.34,23.57,0.58,73.67,6225.53,6.34,96.16,2.17"
"Cambodia,Asia,2022,0.33,3151.21,23.43,0.59,73.91,6918.82,4.47,97.45,1.99"
"Cambodia,Asia,2023,0.11,2711.89,23.91,0.58,74.15,7430.73,4.62,98.71,1.91"
"Lao PDR,Asia,2015,10.29,1651.65,22.79,0.70,12.04,6086.07,2.45,29.47,2.86"
"Lao PDR,Asia,2016,4.35,1984.50,22.74,0.70,14.27,6743.01,2.36,29.93,3.66"
"Lao PDR,Asia,2017,2.33,2197.54,22.35,0.68,16.59,7141.91,2.53,30.41,3.57"
"Lao PDR,Asia,2018,2.45,2110.03,22.35,0.67,19.00,7486.86,2.25,30.88,3.54"
"Lao PDR,Asia,2019,1.79,1705.44,23.52,0.68,21.51,7743.22,2.60,31.36,3.50"
"Lao PDR,Asia,2020,0.91,1940.59,23.05,0.69,24.11,7913.39,2.06,31.83,3.45"
"Lao PDR,Asia,2021,1.00,1927.32,22.48,0.70,26.80,8080.44,2.74,32.29,3.39"
"Lao PDR,Asia,2022,0.58,2188.60,22.32,0.70,29.58,8766.44,2.02,32.75,3.34"
"Lao PDR,Asia,2023,0.17,1766.18,23.15,0.68,32.40,9291.79,1.33,33.21,3.31"
"Philippines,Asia,2015,0.19,2047.73,24.77,0.70,46.47,6894.27,3.90,353.20,3.28"
"Philippines,Asia,2016,0.11,2508.64,25.18,0.69,46.68,7382.67,3.95,357.97,2.81"
"Philippines,Asia,2017,0.11,3251.79,24.78,0.68,46.89,7773.80,3.96,362.61,2.61"
"Philippines,Asia,2018,0.07,2648.08,24.92,0.70,47.10,8357.74,3.95,367.12,2.39"
"Philippines,Asia,2019,0.09,2265.07,25.03,0.70,47.32,8924.10,4.17,371.62,2.16"
"Philippines,Asia,2020,0.09,2778.27,25.13,0.70,47.55,8238.37,5.16,375.90,1.87"
"Philippines,Asia,2021,0.06,3105.25,24.87,0.69,47.78,8857.79,5.98,379.32,1.54"
"Philippines,Asia,2022,0.05,3220.81,24.83,0.69,48.01,10131.35,5.16,382.21,1.38"
"Philippines,Asia,2023,0.09,2854.48,24.24,0.70,48.24,10985.83,5.10,385.32,1.42"
"Viet Nam,Asia,2015,0.14,1775.68,23.65,0.63,53.88,7671.58,4.71,296.20,0.08"
"Viet Nam,Asia,2016,0.06,2139.37,23.66,0.61,54.42,8374.51,4.87,299.95,2.59"
"Viet Nam,Asia,2017,0.07,2195.03,23.08,0.60,54.95,9169.73,4.99,303.69,2.69"
"Viet Nam,Asia,2018,0.04,1958.17,23.21,0.61,55.48,10009.97,5.03,307.05,2.80"
"Viet Nam,Asia,2019,0.05,1667.38,23.97,0.62,56.01,11029.27,4.97,310.03,2.83"
"Viet Nam,Asia,2020,0.02,2005.85,23.62,0.61,56.53,11609.32,4.33,312.92,2.96"
"Viet Nam,Asia,2021,0.01,2092.71,23.27,0.62,57.05,12048.90,4.54,315.65,3.63"
"Viet Nam,Asia,2022,0.01,2221.18,23.03,0.61,57.56,13905.15,4.54,318.03,3.87"
"Viet Nam,Asia,2023,0.01,1980.04,21.91,0.62,58.07,15033.88,4.56,320.18,3.16"
"Afghanistan,Asia,2015,4.52,305.64,12.26,0.13,23.39,2284.08,10.11,51.87,4.25"
"Afghanistan,Asia,2016,8.84,262.65,13.13,0.13,24.22,2213.18,11.82,53.20,3.33"
"Afghanistan,Asia,2017,11.19,310.99,12.58,0.12,25.06,2335.80,12.62,54.72,3.52"
"Afghanistan,Asia,2018,8.68,265.88,12.88,0.12,25.89,2432.28,14.21,56.33,3.57"
"Afghanistan,Asia,2019,5.93,409.50,11.89,0.13,26.72,2583.49,14.83,58.04,3.56"
"Afghanistan,Asia,2020,3.49,353.50,11.26,0.13,27.56,2561.98,15.53,59.90,3.62"
"Afghanistan,Asia,2021,2.79,190.45,13.16,0.12,28.39,2144.17,21.51,61.33,2.69"
"Afghanistan,Asia,2022,4.01,215.26,13.04,0.12,29.23,2123.00,23.09,62.22,1.62"
"Afghanistan,Asia,2023,56.25,186.06,5.20,0.12,29.91,2201.72,14.99,63.56,2.45"
"Pakistan,Asia,2015,1.04,320.79,22.09,0.21,44.23,4480.26,2.49,281.87,2.08"
"Pakistan,Asia,2016,1.65,299.51,23.02,0.21,44.34,4630.73,2.57,285.57,2.02"
"Pakistan,Asia,2017,1.81,328.55,22.59,0.21,44.45,4789.54,2.79,289.64,2.17"
"Pakistan,Asia,2018,1.79,235.13,22.91,0.20,44.55,4979.37,2.83,294.38,2.48"
"Pakistan,Asia,2019,1.94,390.63,21.87,0.22,44.66,5037.53,2.85,299.40,2.67"
"Pakistan,Asia,2020,1.61,384.20,21.75,0.23,44.76,5048.02,2.95,304.85,2.87"
"Pakistan,Asia,2021,1.70,270.84,22.70,0.21,44.87,5367.27,2.99,310.66,3.01"
"Pakistan,Asia,2022,7.61,398.95,22.54,0.23,44.97,5920.27,2.90,316.13,2.90"
"Pakistan,Asia,2023,11.28,293.11,16.94,0.23,44.97,6013.99,2.52,321.07,2.70"
"Brazil,South_America,2015,3.40,1643.19,25.29,0.66,81.99,14821.44,8.91,24.13,1.10"
"Brazil,South_America,2016,2.97,1727.95,25.14,0.65,82.73,14309.21,9.17,24.31,1.06"
"Brazil,South_America,2017,4.49,1819.95,25.03,0.65,83.50,14559.05,9.47,24.49,1.02"
"Brazil,South_America,2018,4.42,1856.99,24.75,0.66,84.26,15463.74,9.46,24.66,0.97"
"Brazil,South_America,2019,3.58,1769.61,25.27,0.66,85.01,16069.84,9.61,24.82,0.93"
"Brazil,South_America,2020,3.39,1714.76,25.12,0.67,85.74,16101.62,9.62,24.96,0.85"
"Brazil,South_America,2021,3.27,1879.09,24.81,0.65,86.43,18075.71,9.64,25.07,0.68"
"Brazil,South_America,2022,3.02,1807.59,24.66,0.66,87.12,19876.85,9.39,25.16,0.60"
"Brazil,South_America,2023,3.27,1630.97,24.75,0.67,87.95,21175.62,9.73,25.26,0.70"
"Colombia,South_America,2015,5.26,1690.18,27.33,0.64,24.82,13332.06,7.52,88.51,9.23"
"Colombia,South_America,2016,7.75,2274.34,27.26,0.63,25.39,14026.84,7.53,89.81,9.17"
"Colombia,South_America,2017,4.88,2148.31,26.51,0.67,25.96,14400.61,7.68,91.06,8.90"
"Colombia,South_America,2018,5.57,1931.73,26.83,0.64,26.54,15239.40,7.72,92.20,8.48"
"Colombia,South_America,2019,7.22,1660.49,27.39,0.64,27.12,16181.59,7.83,93.37,6.29"
"Colombia,South_America,2020,7.26,1972.15,27.09,0.66,27.70,15519.21,8.70,94.75,2.10"
"Colombia,South_America,2021,6.53,2221.98,26.56,0.65,28.29,17383.09,9.14,96.16,2.17"
"Colombia,South_America,2022,6.35,2422.20,26.36,0.65,28.88,20695.74,7.59,97.45,1.99"
"Colombia,South_America,2023,9.05,1942.93,27.07,0.69,29.45,20944.49,8.16,98.71,1.91"
"Costa Rica,North_America,2015,0.00,2728.57,22.97,0.69,80.04,17525.14,7.59,94.36,1.78"
"Costa Rica,North_America,2016,0.00,3007.43,22.97,0.68,80.19,19201.75,7.32,95.32,1.71"
"Costa Rica,North_America,2017,0.01,3223.28,22.68,0.70,80.32,20499.34,7.05,96.22,1.62"
"Costa Rica,North_America,2018,0.04,2852.69,22.49,0.70,80.45,21498.04,7.29,97.10,1.56"
"Costa Rica,North_America,2019,0.05,2593.88,22.95,0.69,80.52,23339.61,7.22,97.92,1.48"
"Costa Rica,North_America,2020,0.05,2930.39,22.82,0.70,80.52,22099.87,7.83,98.60,1.31"
"Costa Rica,North_America,2021,0.11,3251.46,22.52,0.71,80.51,23852.93,7.61,99.10,1.11"
"Costa Rica,North_America,2022,0.23,3024.52,22.35,0.70,80.51,25924.74,7.18,99.53,1.01"
"Costa Rica,North_America,2023,0.30,2852.21,22.56,0.73,80.50,28075.14,6.87,99.99,1.03"
"Dominican Republic,North_America,2015,0.11,1024.78,24.28,0.65,44.50,14804.10,4.74,216.00,1.07"
"Dominican Republic,North_America,2016,0.12,1656.25,23.99,0.69,44.61,16282.19,4.59,218.41,0.99"
"Dominican Republic,North_America,2017,0.06,1573.80,23.69,0.71,44.72,16846.21,4.45,220.80,0.92"
"Dominican Republic,North_America,2018,0.07,1187.81,23.74,0.68,44.83,17994.84,4.22,223.18,0.85"
"Dominican Republic,North_America,2019,0.22,1002.15,24.19,0.67,44.93,19766.76,4.37,226.03,0.74"
"Dominican Republic,North_America,2020,0.14,1096.44,24.27,0.68,45.02,18998.31,4.96,228.40,0.67"
"Dominican Republic,North_America,2021,0.05,971.61,23.84,0.69,45.10,22053.46,5.09,230.79,0.58"
"Dominican Republic,North_America,2022,0.05,1214.13,23.73,0.68,45.19,24625.81,4.65,233.01,0.27"
"Dominican Republic,North_America,2023,0.04,1224.05,22.52,0.69,45.26,25839.94,4.60,235.10,0.80"
"Ecuador,South_America,2015,1.33,1807.68,20.44,0.55,67.14,10877.75,7.77,65.49,1.49"
"Ecuador,South_America,2016,2.48,1904.53,20.56,0.56,67.49,10881.49,7.59,66.46,1.51"
"Ecuador,South_America,2017,2.61,2594.67,20.22,0.58,67.85,11793.48,7.52,67.48,1.57"
"Ecuador,South_America,2018,3.32,1832.92,20.04,0.54,68.20,12186.88,7.83,68.65,1.75"
"Ecuador,South_America,2019,3.56,2308.31,20.25,0.54,68.57,12543.01,7.81,69.82,1.72"
"Ecuador,South_America,2020,0.19,2211.06,20.39,0.57,68.93,11526.80,8.61,70.65,1.20"
"Ecuador,South_America,2021,0.22,2252.93,20.03,0.55,69.25,13507.44,8.38,71.20,0.79"
"Ecuador,South_America,2022,0.13,2335.88,19.94,0.56,69.46,15198.07,7.60,71.77,0.80"
"Ecuador,South_America,2023,0.06,2736.84,20.39,0.60,69.67,15918.52,7.56,72.40,0.94"
"Guatemala,North_America,2015,0.45,1630.68,22.59,0.70,49.43,8934.00,6.01,149.05,2.39"
"Guatemala,North_America,2016,0.40,1563.55,22.63,0.70,49.38,9201.43,6.07,151.82,2.25"
"Guatemala,North_America,2017,0.32,1800.18,22.36,0.71,49.32,9560.18,6.14,154.60,2.08"
"Guatemala,North_America,2018,0.23,1551.00,22.30,0.71,49.25,9946.80,6.11,157.20,1.75"
"Guatemala,North_America,2019,0.16,1570.10,23.08,0.71,49.19,10755.88,6.17,159.61,2.15"
"Guatemala,North_America,2020,0.08,2093.95,22.85,0.72,49.12,10947.37,6.46,161.98,2.13"
"Guatemala,North_America,2021,0.10,1704.24,22.59,0.73,49.04,11825.14,7.36,164.23,2.03"
"Guatemala,North_America,2022,0.14,2138.52,22.26,0.71,48.96,13014.02,7.17,166.55,2.05"
"Guatemala,North_America,2023,0.22,1610.10,22.56,0.72,48.88,13745.36,6.80,169.14,2.17"
"Guyana,South_America,2015,13.01,1574.11,25.18,0.65,65.57,11408.47,4.02,3.85,0.61"
"Guyana,South_America,2016,13.87,1942.52,25.27,0.65,65.79,11516.38,4.02,3.88,0.64"
"Guyana,South_America,2017,17.98,2281.45,25.03,0.66,66.01,12243.22,4.32,3.90,0.66"
"Guyana,South_America,2018,21.87,1911.02,24.73,0.66,66.23,12442.51,4.90,4.02,2.98"
"Guyana,South_America,2019,23.82,1929.89,25.07,0.64,66.46,13240.97,4.90,4.10,2.04"
"Guyana,South_America,2020,21.27,1995.06,25.19,0.68,66.68,16819.42,5.38,3.82,0.01"
"Guyana,South_America,2021,25.49,3234.63,24.63,0.64,66.91,22865.93,4.64,3.86,1.02"
"Guyana,South_America,2022,25.23,2979.71,24.51,0.61,67.14,39710.97,2.52,3.89,0.79"
"Guyana,South_America,2023,34.53,2161.88,24.25,0.66,67.16,54729.04,2.47,3.91,0.62"
"Honduras,North_America,2015,0.43,1389.44,23.03,0.69,61.91,4845.60,7.48,82.56,2.84"
"Honduras,North_America,2016,0.49,1591.68,23.07,0.70,62.34,5186.16,7.71,84.12,2.80"
"Honduras,North_America,2017,0.15,1777.48,22.68,0.69,62.77,5620.65,7.01,85.69,2.76"
"Honduras,North_America,2018,0.07,1528.74,22.62,0.69,63.19,5633.38,7.23,87.28,2.72"
"Honduras,North_America,2019,0.04,1224.84,23.41,0.69,63.61,5784.93,7.34,88.87,2.69"
"Honduras,North_America,2020,0.09,2559.70,23.19,0.70,64.02,5384.70,9.22,90.44,2.62"
"Honduras,North_America,2021,0.17,1364.18,22.97,0.71,64.43,6202.98,9.27,91.96,2.52"
"Honduras,North_America,2022,0.37,1781.79,22.63,0.69,64.84,6805.49,8.15,93.52,2.51"
"Honduras,North_America,2023,0.27,1639.82,22.88,0.70,65.20,7178.34,7.71,95.14,2.54"
"Mexico,North_America,2015,0.20,763.00,20.42,0.48,42.02,19075.34,5.53,62.28,1.35"
"Mexico,North_America,2016,0.21,725.47,20.63,0.47,42.14,20104.58,5.38,62.89,1.29"
"Mexico,North_America,2017,0.28,735.51,20.95,0.46,42.27,20488.72,5.31,63.48,1.30"
"Mexico,North_America,2018,0.30,785.96,20.55,0.46,42.39,20921.48,5.24,64.08,1.34"
"Mexico,North_America,2019,0.23,705.56,20.84,0.46,42.50,20964.28,5.30,64.69,1.37"
"Mexico,North_America,2020,0.13,706.77,21.09,0.46,42.62,19354.12,6.05,65.23,1.23"
"Mexico,North_America,2021,0.09,757.19,20.74,0.45,42.74,20782.59,5.88,65.66,0.99"
"Mexico,North_America,2022,0.06,737.26,20.49,0.45,42.85,23387.22,5.71,66.16,1.09"
"Mexico,North_America,2023,0.02,621.16,18.23,0.45,42.91,24917.19,5.50,66.74,1.22"
"Peru,South_America,2015,5.17,1601.76,18.61,0.53,49.92,11600.39,4.90,23.80,2.00"
"Peru,South_America,2016,4.66,1616.81,18.84,0.54,50.19,12066.55,4.89,24.11,2.22"
"Peru,South_America,2017,4.48,1907.23,18.57,0.55,50.47,12591.86,4.81,24.47,2.42"
"Peru,South_America,2018,3.62,1751.87,18.28,0.53,50.75,13078.23,5.08,24.92,2.41"
"Peru,South_America,2019,1.90,1882.46,18.61,0.53,51.02,13563.54,5.13,25.35,2.22"
"Peru,South_America,2020,1.23,1657.41,18.82,0.56,51.30,12563.30,6.35,25.66,1.70"
"Peru,South_America,2021,1.39,1755.29,18.42,0.55,51.58,15280.55,6.67,25.90,1.46"
"Peru,South_America,2022,2.11,1695.50,18.39,0.55,50.93,16669.16,6.10,26.15,1.46"
"Peru,South_America,2023,1.70,1709.86,18.67,0.57,50.19,17011.23,5.64,26.44,1.59"
"Suriname,South_America,2015,0.98,2071.55,25.85,0.70,54.67,16543.57,5.81,3.62,1.02"
"Suriname,South_America,2016,0.93,1877.94,25.86,0.70,54.88,14475.31,5.99,3.66,0.99"
"Suriname,South_America,2017,1.63,2177.06,25.67,0.71,55.09,17567.68,5.32,3.70,0.95"
"Suriname,South_America,2018,0.43,1953.68,25.23,0.70,55.31,17855.48,6.61,3.74,0.92"
"Suriname,South_America,2019,1.21,1634.06,25.77,0.70,55.53,19771.55,8.38,3.77,0.99"
"Suriname,South_America,2020,1.63,2056.23,25.65,0.72,55.76,16946.89,6.03,3.81,1.03"
"Suriname,South_America,2021,0.24,3117.45,25.02,0.68,55.78,18458.23,5.02,3.85,0.87"
"Suriname,South_America,2022,0.00,2852.87,24.88,0.66,55.80,20078.84,5.93,3.88,0.72"
"Suriname,South_America,2023,0.00,2236.37,24.37,0.71,55.82,21110.20,5.41,3.92,0.70"
